Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,Direction,PhiScore,KanScore,Description,Yards,PlayType,Runner,Receiver,ForcedBy,DefendedBy,TackledBy,TackleAssist,InterceptedBy,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,PassDirection,IsSack,IsChallenge,IsChallengeReverse,Challenger,IsInterception,IsFumble,FumbleRecoveredByOffense,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RunDirection,IsPenaltyAccepted,PenaltyTeam,PenaltyType,PenaltyYards
1,15,00,KAN,PHI,NA,NA,35,KAN,0,0,"Harrison Butker kicks off 65 yards, touchback.",NA,Kickoff,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,15,00,PHI,KAN,1,10,25,PHI,0,0,Miles Sanders up the middle for -1 yards. Miles Sanders fumbles (forced by Trent McDuffie). Miles Sanders fumbles out of bounds,-1,Run,Miles Sanders,NA,Trent McDuffie,NA,NA,NA,NA,1,0,0,0,NA,NA,0,0,0,NA,0,1,1,0,0,0,Middle,0,NA,NA,0
1,14,26,PHI,KAN,2,11,24,PHI,0,0,Jalen Hurts pass complete short left to DeVonta Smith for 6 yards (tackle by Trent McDuffie and L'Jarius Sneed),6,Pass,NA,DeVonta Smith,NA,NA,Trent McDuffie,L'Jarius Sneed,NA,0,1,0,0,Short,Left,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,13,44,PHI,KAN,3,5,30,PHI,0,0,Jalen Hurts pass complete short left to DeVonta Smith for 12 yards (tackle by Justin Reid),12,Pass,NA,DeVonta Smith,NA,NA,Justin Reid,NA,NA,0,1,0,0,Short,Left,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,13,16,PHI,KAN,1,10,42,PHI,0,0,Jalen Hurts pass incomplete deep left intended for A.J. Brown,0,Pass,NA,AJ Brown,NA,NA,NA,NA,NA,0,1,1,0,Deep,Left,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,13,10,PHI,KAN,2,10,42,PHI,0,0,Jalen Hurts scrambles left end for 11 yards (tackle by Justin Reid and L'Jarius Sneed),11,Scramble,Jalen Hurts,NA,NA,NA,Justin Reid,L'Jarius Sneed,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,Left,0,NA,NA,0
1,12,31,PHI,KAN,1,10,47,KAN,0,0,Jalen Hurts pass complete short right to Dallas Goedert for 13 yards (tackle by Justin Reid),13,Pass,NA,Dallas Goedert,NA,NA,Justin Reid,NA,NA,0,1,0,0,Short,Right,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,12,02,PHI,KAN,1,10,34,KAN,0,0,Jalen Hurts pass complete short right to DeVonta Smith for 23 yards (tackle by Willie Gay),23,Pass,NA,DeVonta Smith,NA,NA,Willie Gay,NA,NA,0,1,0,0,Short,Right ,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,11,28,PHI,KAN,1,10,11,KAN,0,0,Boston Scott up the middle for 9 yards (tackle by Juan Thornhill and Trent McDuffie),9,Run,Boston Scott,NA,NA,NA,Juan Thornhill,Trent McDuffie,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,Middle,0,NA,NA,0
1,11,01,PHI,KAN,2,1,2,KAN,0,0,Boston Scott up the middle for -2 yards (tackle by Juan Thornhill),-2,Run,Boston Scott,NA,NA,NA,Juan Thornhill,NA,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,Middle,0,NA,NA,0
1,10,22,PHI,KAN,3,3,4,KAN,0,0,"Kenneth Gainwell up the middle for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Kenneth Gainwell up the middle for 3 yards (tackle by Jaylen Watson)",3,Run,Kenneth Gainwell,NA,NA,NA,Jaylen Watson,NA,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,Middle,0,NA,NA,0
1,10,13,PHI,KAN,1,1,1,KAN,6,0,"Jalen Hurts up the middle for 1 yard, touchdown. Penalty on Chris Jones: Defensive Offside, 5 yards (declined)",1,Run,Jalen Hurts,NA,NA,NA,NA,NA,NA,1,0,0,1,NA,NA,0,0,0,NA,0,0,0,1,0,0,Middle,0,KAN,Defensive Offside,5
1,10,09,PHI,KAN,NA,NA,15,KAN,7,0,Jake Elliott kicks extra point good,NA,Extra Point,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,10,09,PHI,KAN,NA,NA,35,PHI,7,0,"Jake Elliott kicks off 65 yards, touchback.",NA,Kickoff,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,10,09,KAN,PHI,1,10,25,KAN,7,0,Isiah Pacheco up the middle for 3 yards (tackle by Javon Hargrave),3,Run,Isaiah Pacheco,NA,NA,NA,Javon Hargrave,NA,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,Middle,0,NA,NA,0
1,9,33,KAN,PHI,2,7,28,KAN,7,0,Patrick Mahomes pass complete short middle to Travis Kelce for 20 yards (tackle by T.J. Edwards),20,Pass,NA,Travis Kelce,NA,NA,TJ Edwards,NA,NA,0,1,0,0,Short,Middle,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,8,56,KAN,PHI,1,10,48,KAN,7,0,Patrick Mahomes scrambles right end for 8 yards (tackle by Avonte Maddox),8,Scramble,Patrick Mahomes,NA,NA,NA,Avonte Maddox,NA,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,Right,0,NA,NA,0
1,8,21,KAN,PHI,2,2,44,PHI,7,0,Isiah Pacheco left tackle for 24 yards (tackle by Marcus Epps),24,Run,Isaiah Pacheco,NA,NA,NA,Marcus Epps,NA,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,Left,0,NA,NA,0
1,7,44,KAN,PHI,1,10,20,PHI,7,0,Isiah Pacheco up the middle for 2 yards (tackle by Fletcher Cox),2,Run,Isaiah Pacheco,NA,NA,NA,Fletcher Cox,NA,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,Middle,0,NA,NA,0
1,7,03,KAN,PHI,2,8,18,PHI,7,6,"Patrick Mahomes pass complete deep right to Travis Kelce for 18 yards, touchdown",18,Pass,NA,Travis Kelce,NA,NA,NA,NA,NA,0,1,0,1,Deep,Right,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,6,57,KAN,PHI,NA,NA,15,PHI,7,7,Harrison Butker kicks extra point good,NA,Extra Point,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,6,57,KAN,PHI,NA,NA,35,KAN,7,7,"Harrison Butker kicks off 65 yards, touchback.",NA,Kickoff,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,6,57,PHI,KAN,1,10,25,PHI,7,7,"Jalen Hurts pass complete short right to Kenneth Gainwell for no gain (tackle by Trent McDuffie). Penalty on Zach Pascal: Offensive Pass Interference, 10 yards (accepted) (no play)",0,Pass,NA,Kenneth Gainwell,NA,NA,Trent McDuffie,NA,NA,0,1,0,0,Short,Right,0,0,0,NA,0,0,0,1,0,0,NA,1,PHI,Offensive Pass Interference,10
1,6,30,PHI,KAN,1,20,15,PHI,7,7,Kenneth Gainwell right tackle for 1 yard (tackle by Leo Chenal),1,Run,Kenneth Gainwell,NA,NA,NA,Leo Chenal,NA,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,Right,0,NA,NA,0
1,5,47,PHI,KAN,2,19,16,PHI,7,7,Jalen Hurts pass complete short left to DeVonta Smith for 5 yards (tackle by L'Jarius Sneed),5,Pass,NA,DeVonta Smith,NA,NA,L'Jarius Sneed,NA,NA,0,1,0,0,Short,Left,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,5,07,PHI,KAN,3,14,21,PHI,7,7,Jalen Hurts pass incomplete short left,0,Pass,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,Short,Left,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,5,00,PHI,KAN,4,14,21,PHI,7,7,"Arryn Siposs punts 57 yards, returned by Kadarius Toney for 12 yards (tackle by Jack Stoll)",12,Punt,Kadarius Toney,NA,NA,NA,Jack Stoll,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,4,46,KAN,PHI,1,10,34,KAN,7,7,Patrick Mahomes pass complete short right to Noah Gray for 6 yards (tackle by T.J. Edwards),6,Pass,NA,Noah Gray,NA,NA,TJ Edwards,NA,NA,0,1,0,0,Short,Right,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,4,12,KAN,PHI,2,4,40,KAN,7,7,"Isiah Pacheco up the middle for 2 yards (tackle by Kyzir White). Penalty on Ndamukong Suh: Illegal Use of Hands / Defense, 5 yards (accepted)",2,Run,Isaiah Pacheco,NA,NA,NA,Kyzir White,NA,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,1,0,0,Middle,1,PHI,Illegal Use of Hands / Defense,5
1,3,48,KAN,PHI,1,10,47,KAN,7,7,Patrick Mahomes pass complete short middle to Travis Kelce for 22 yards (tackle by James Bradberry),22,Pass,NA,Travis Kelce,NA,NA,James Bradberry,NA,NA,0,1,0,0,Short,Middle,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,3,12,KAN,PHI,1,10,31,PHI,7,7,Patrick Mahomes pass incomplete short right,0,Pass,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,Short,Right,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,3,06,KAN,PHI,2,10,31,PHI,7,7,Patrick Mahomes pass complete short right to Jerick McKinnon for 7 yards (tackle by Darius Slay),7,Pass,NA,Jerick McKinnon,NA,NA,Darius Slay,NA,NA,0,1,0,0,Short,Right,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,2,32,KAN,PHI,3,3,24,PHI,7,7,Patrick Mahomes pass incomplete short right intended for Jody Fortson (defended by T.J. Edwards),0,Pass,NA,Jody Fortson,NA,TJ Edwards,NA,NA,NA,0,1,1,0,Short,Right,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,2,28,KAN,PHI,4,3,24,PHI,7,7,Harrison Butker 42 yard field goal no good,NA,Field Goal,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,2,24,PHI,KAN,1,10,32,PHI,7,7,Jalen Hurts left end for 5 yards (tackle by Joshua Williams),5,Run,Jalen Hurts,NA,NA,NA,Joshua Williams,NA,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,Left,0,NA,NA,0
1,1,55,PHI,KAN,2,5,37,PHI,7,7,Jalen Hurts left tackle for 1 yard (tackle by Nick Bolton and Willie Gay),1,Run,Jalen Hurts,NA,NA,NA,Nick Bolton,Willie Gay,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,Left,0,NA,NA,0
1,1,08,PHI,KAN,3,4,38,PHI,7,7,"Penalty on Frank Clark: Defensive Offside, 5 yards (accepted) (no play)",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,1,0,0,NA,1,KAN,Defensive Offside,5
1,0,52,PHI,KAN,1,10,43,PHI,7,7,Jalen Hurts pass complete short middle to Dallas Goedert for 5 yards (tackle by Leo Chenal),5,Pass,NA,Dallas Goedert,NA,NA,Leo Chenal,NA,NA,0,1,0,0,Short,Middle,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,0,10,PHI,KAN,2,5,48,PHI,7,7,Jalen Hurts pass complete short right to A.J. Brown for 7 yards (tackle by Joshua Williams),7,Pass,NA,AJ Brown,NA,NA,Joshua Williams,NA,NA,0,1,0,0,Short,Right,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
2,15,00,PHI,KAN,1,10,45,KAN,13,7,"Jalen Hurts pass complete deep left to A.J. Brown for 45 yards, touchdown",45,Pass,NA,AJ Brown,NA,NA,NA,NA,NA,0,1,0,1,Deep,Left,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
2,14,52,PHI,KAN,NA,NA,15,KAN,14,7,Jake Elliott kicks extra point good,NA,Extra Point,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
2,14,52,PHI,KAN,NA,NA,35,PHI,14,7,"Jake Elliott kicks off 65 yards, touchback.",NA,Kickoff,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
2,14,52,KAN,PHI,1,10,25,KAN,14,7,Isiah Pacheco left tackle for -3 yards (tackle by Javon Hargrave),-3,Run,Isaiah Pacheco,NA,NA,NA,Javon Hargrave,NA,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,Left,0,NA,NA,0
2,14,12,KAN,PHI,2,13,22,KAN,14,7,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 5 yards (tackle by Marcus Epps),5,Pass,NA,JuJu Smith-Schuster,NA,NA,Marcus Epps,NA,NA,0,1,0,0,Short,Right,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
2,13,35,KAN,PHI,3,8,27,KAN,14,7,Patrick Mahomes pass incomplete short middle intended for JuJu Smith-Schuster,0,Pass,NA,JuJu Smith-Schuster,NA,NA,NA,NA,NA,0,1,1,0,Short,Middle,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
2,13,31,KAN,PHI,4,8,27,KAN,14,7,"Tommy Townsend punts 48 yards, returned by Britain Covey for 8 yards (tackle by Jack Cochrane and Michael Burton)",8,Punt,Britain Covey,NA,NA,NA,Jack Cochrane,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
2,13,18,PHI,KAN,1,10,33,PHI,14,7,Miles Sanders up the middle for -1 yards (tackle by Willie Gay),-1,Run,Miles Sanders,NA,NA,NA,Willie Gay,NA,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,Middle,0,NA,NA,0
2,12,40,PHI,KAN,2,11,32,PHI,14,7,Jalen Hurts pass complete short right to Dallas Goedert for 3 yards (tackle by Jaylen Watson),3,Pass,NA,Dallas Goedert,NA,NA,Jaylen Watson,NA,NA,0,1,0,0,Short,Right,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
2,11,58,PHI,KAN,3,8,35,PHI,14,7,Jalen Hurts pass complete short left to Zach Pascal for 9 yards,9,Pass,NA,Zach Pascal,NA,NA,NA,NA,NA,0,1,0,0,Short,Left,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
2,11,15,PHI,KAN,1,10,44,PHI,14,7,Kenneth Gainwell right tackle for 9 yards (tackle by Khalen Saunders and Justin Reid),9,Run,Kenneth Gainwell,NA,NA,NA,Khalen Saunders,Justin Reid,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,Right,0,NA,NA,0
2,10,39,PHI,KAN,2,1,47,KAN,14,7,Kenneth Gainwell up the middle for no gain (tackle by L'Jarius Sneed and Leo Chenal),0,Run,Kenneth Gainwell,NA,NA,NA,L'Jarius Sneed,Leo Chenal,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,Middle,0,NA,NA,0
2,10,12,PHI,KAN,3,1,47,KAN,14,7,"Penalty on Isaac Seumalo: False Start, 4 yards (accepted) (no play)",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,1,0,0,NA,1,PHI,False Start,4
2,9,48,PHI,KAN,3,5,49,PHI,14,13,"Jalen Hurts up the middle for -5 yards. Jalen Hurts fumbles, recovered by Nick Bolton at PHI-36 and returned for 36 yards, touchdown",-5,Run,Jalen Hurts,NA,Nick Bolton,NA,NA,NA,NA,1,0,0,1,NA,NA,0,0,0,NA,0,1,0,0,0,0,Middle,0,NA,NA,0
2,9,39,KAN,PHI,NA,NA,15,PHI,14,14,Harrison Butker kicks extra point good,NA,Extra Point,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
2,9,39,KAN,PHI,NA,NA,35,KAN,14,14,"Harrison Butker kicks off 65 yards, touchback.",NA,Kickoff,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
2,9,39,PHI,KAN,1,10,25,PHI,14,14,Jalen Hurts up the middle for 14 yards (tackle by Nick Bolton),14,Run,Jalen Hurts,NA,NA,NA,Nick Bolton,NA,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,Middle,0,NA,NA,0
2,8,54,PHI,KAN,1,10,39,PHI,14,14,Jalen Hurts pass incomplete deep left intended for A.J. Brown (defended by Juan Thornhill),0,Pass,NA,AJ Brown,NA,Juan Thornhill,NA,NA,NA,0,1,1,0,Deep,Left,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
2,8,45,PHI,KAN,2,10,39,PHI,14,14,Jalen Hurts pass complete short right to Boston Scott for 9 yards (tackle by Willie Gay),9,Pass,NA,Boston Scott,NA,NA,Willie Gay,NA,NA,0,1,0,0,Short,Right,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
2,7,56,PHI,KAN,3,1,48,PHI,14,14,Jalen Hurts up the middle for 3 yards (tackle by Justin Reid),3,Run,Jalen Hurts,NA,NA,NA,Justin Reid,NA,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,Middle,0,NA,NA,0
2,7,18,PHI,KAN,1,10,49,KAN,14,14,Jalen Hurts pass complete short right to Kenneth Gainwell for 4 yards (tackle by Jaylen Watson),4,Pass,NA,Kenneth Gainwell,NA,NA,Jaylen Watson,NA,NA,0,1,0,0,Short,Right,0,0,0,NA,9,9,9,9,9,9,NA,0,NA,NA,0
2,6,38,PHI,KAN,2,6,45,KAN,14,14,Jalen Hurts right end for -1 yards (tackle by Willie Gay),-1,Run,Jalen Hurts,NA,NA,NA,Willie Gay,NA,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,Right,0,NA,NA,0
2,6,02,PHI,KAN,3,7,46,KAN,14,14,Kenneth Gainwell up the middle for 2 yards (tackle by Michael Danna),2,Run,Kenneth Gainwell,NA,NA,NA,Michael Danna,NA,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,Middle,0,NA,NA,0
2,5,28,PHI,KAN,4,5,44,KAN,14,14,Jalen Hurts up the middle for 28 yards (tackle by L'Jarius Sneed),28,Run,Jalen Hurts,NA,NA,NA,L'Jarius Sneed,NA,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,Middle,0,NA,NA,0
2,4,44,PHI,KAN,1,10,16,KAN,14,14,Kenneth Gainwell up the middle for 3 yards (tackle by George Karlaftis),3,Run,Kenneth Gainwell,NA,NA,NA,George Karlaftis,NA,NA,0,1,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,Middle,0,NA,NA,0
2,4,07,PHI,KAN,2,7,13,KAN,14,14,Jalen Hurts pass complete short right to DeVonta Smith for 4 yards (tackle by Willie Gay),4,Pass,NA,DeVonta Smith,NA,NA,Willie Gay,NA,NA,1,0,0,0,Short,Right,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
2,3,25,PHI,KAN,3,3,9,KAN,14,14,Boston Scott up the middle for 1 yard (tackle by George Karlaftis and Chris Jones),1,Run,Boston Scott,NA,NA,NA,George Karlaftis,Chris Jones,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,Middle,0,NA,NA,0
2,2,42,PHI,KAN,4,2,8,KAN,14,14,"Penalty on Derrick Nnadi: Neutral Zone Infraction, 4 yards (accepted) (no play)",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,1,0,0,NA,1,KAN,Neutral Zone Infraction,4
2,2,24,PHI,KAN,1,4,4,KAN,20,14,"Jalen Hurts left tackle for 4 yards, touchdown",4,Run,Jalen Hurts,NA,NA,NA,NA,NA,NA,1,0,0,1,NA,NA,0,0,0,NA,0,0,0,0,0,0,Left,0,NA,NA,0
2,2,20,PHI,KAN,NA,NA,15,KAN,21,14,Jake Elliott kicks extra point good,NA,Extra Point,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
2,2,20,PHI,KAN,NA,NA,35,PHI,21,14,"Jake Elliott kicks off 65 yards, touchback.",NA,Kickoff,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
2,2,20,KAN,PHI,1,10,25,KAN,21,14,Patrick Mahomes pass complete short left to Jerick McKinnon for 5 yards (tackle by T.J. Edwards),5,Pass,NA,Jerick McKinnon,NA,NA,TJ Edwards,NA,NA,0,1,0,0,Short,Left,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
2,2,01,KAN,PHI,2,5,30,KAN,21,14,Patrick Mahomes pass complete short right to Justin Watson for 6 yards (tackle by Darius Slay),6,Pass,NA,Justin Watson,NA,NA,Darius Slay,NA,NA,0,1,0,0,Short,Right,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
2,1,56,KAN,PHI,1,10,36,KAN,21,14,Patrick Mahomes pass incomplete deep left intended for Marquez Valdes-Scantling,0,Pass,NA,Marquez Valdes-Scantling,NA,NA,NA,NA,NA,0,1,1,0,Deep,Left,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
2,1,51,KAN,PHI,2,10,36,KAN,21,14,"Penalty on Orlando Brown: False Start, 5 yards (accepted) (no play)",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,1,0,0,NA,1,KAN,False Start,5
2,1,51,KAN,PHI,2,15,31,KAN,21,14,Patrick Mahomes pass incomplete short right intended for JuJu Smith-Schuster,0,Pass,NA,JuJu Smith-Schuster,NA,NA,NA,NA,NA,0,1,1,0,Short,Right,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
2,1,44,KAN,PHI,3,15,31,KAN,21,14,"Creed Humphrey aborted snap, recovered by Patrick Mahomes at KC-25 Patrick Mahomes for no gain (tackle by T.J. Edwards)",0,Pass,NA,NA,NA,NA,TJ Edwards,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,1,1,0,0,0,NA,0,NA,NA,0
2,1,33,KAN,PHI,NA,NA,NA,NA,21,14,Timeout #1 by Philadelphia Eagles,0,Timeout,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
2,1,33,KAN,PHI,4,12,34,KAN,21,14,"Tommy Townsend punts 50 yards, returned by Britain Covey for 27 yards (tackle by Nazeeh Johnson)",27,Punt,Britain Covey,NA,NA,NA,Nazeeh Johnson,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
2,1,22,PHI,KAN,1,10,43,PHI,21,14,Jalen Hurts pass complete short right to Kenneth Gainwell for 9 yards (tackle by Justin Reid),9,Pass,NA,Kenneth Gainwell,NA,NA,Justin Reid,NA,NA,0,1,0,0,Short,Right,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
2,1,00,PHI,KAN,2,1,48,KAN,21,14,"Jalen Hurts pass complete deep right to DeVonta Smith for no gain (tackle by L'Jarius Sneed) Replay Assistant challenged the pass completion ruling, and the original play was overturned. Jalen Hurts pass incomplete deep right intended for DeVonta Smith (defended by L'Jarius Sneed)",0,Pass,NA,DeVonta Smith,NA,NA,L'Jarius Sneed,NA,NA,0,1,1,0,Deep,Right,0,1,1,Official,0,0,0,0,0,0,NA,0,NA,NA,0
2,0,55,PHI,KAN,3,1,48,KAN,21,14,Jalen Hurts up the middle for 2 yards (tackle by Chris Jones),2,Run,Jalen Hurts,NA,NA,NA,Chris Jones,NA,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,Middle,0,NA,NA,0
2,0,35,PHI,KAN,1,10,46,KAN,21,14,Jalen Hurts pass incomplete short right,0,Pass,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,Short,Right,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
